"","Županija","County.of","2005.","2006.","2007.","2008.","2009.","2010.","2011.","2012.","2013.","2014.","2015."
"1","Republika Hrvatska","Republic of Croatia",10544,10544,10544,10904,10939,10936,10967,9809,9720,9628,9640
"2","Zagrebaèka","Zagreb",798,799,798,833,853,857,858,685,678,604,678
"3","Krapinsko-zagorska","Krapina-Zagorje",463,463,463,444,445,445,445,434,407,407,407
"4","Sisaèko-moslavèka","Sisak-Moslavina",815,815,815,818,818,818,818,717,717,668,668
"5","Karlovaèka","Karlovac",546,546,546,587,585,585,585,503,494,496,494
"6","Varaždinska","Varaždin",429,429,429,473,473,473,473,437,445,442,442
"7","Koprivnièko-križevaèka","Koprivnica-Križevci",411,411,411,400,400,400,400,365,365,365,363
"8","Bjelovarsko-bilogorska","Bjelovar-Bilogora",563,563,563,565,565,565,565,543,543,543,507
"9","Primorsko-goranska","Primorje-Gorski kotar",588,588,588,597,597,599,599,570,569,571,568
"10","Lièko-senjska","Lika-Senj",518,518,518,575,575,575,575,515,501,501,487
"11","Virovitièko-podravska","Virovitica-Podravina",358,358,358,371,371,371,371,368,368,368,365
"12","Požeško-slavonska","Požega-Slavonia",216,216,216,234,233,234,234,201,201,201,201
"13","Brodsko-posavska","Slavonski Brod-Posavina",483,483,483,477,478,477,477,448,448,447,448
"14","Zadarska","Zadar",494,494,494,527,527,528,528,528,528,564,566
"15","Osjeèko-baranjska","Osijek-Baranja",624,624,624,664,664,666,666,649,651,651,651
"16","Šibensko-kninska","Šibenik-Knin",460,460,460,470,470,470,470,442,442,443,443
"17","Vukovarsko-srijemska","Vukovar-Sirmium",466,466,466,479,479,479,479,437,437,436,436
"18","Splitsko-dalmatinska","Split-Dalmatia",780,780,780,854,854,854,854,830,830,817,811
"19","Istarska","Istria",706,706,706,682,682,682,694,644,622,619,621
"20","Dubrovaèko-neretvanska","Dubrovnik-Neretva",260,260,260,274,287,274,293,273,274,282,282
"21","Meðimurska","Meðimurje",260,260,260,266,266,267,267,222,203,203,202
"22","Grad Zagreb","City of Zagreb",306,305,306,314,317,317,317,NA,NA,NA,NA
